"nomeempreendedor","niveldeemergencia"
"MINERACAO CARAIBA S/A","Sem emergência"
"MINERACAO CARAIBA S/A","Sem emergência"
"MINERACAO CARAIBA S/A","Sem emergência"
"MINERACAO CARAIBA S/A","Sem emergência"
"MINERACAO CARAIBA S/A","Sem emergência"
"MINERACAO CARAIBA S/A","Sem emergência"
"MINERACAO CARAIBA S/A","Sem emergência"
"MINERACAO CARAIBA S/A","Sem emergência"
"MINERACAO CARAIBA S/A","Sem emergência"
"MINERACAO CARAIBA S/A","Sem emergência"
"MINERACAO CARAIBA S/A","Sem emergência"
"Roberto Eustáquio Silva Pedrosa","Sem emergência"
"Zamapá Mineração S.a.","Sem emergência"
"VETRIA MINERACAO S.A.","Sem emergência"
"PEDREIRA SARGON LTDA","Sem emergência"
"AVB MINERACAO LTDA.","Sem emergência"
"AVB MINERACAO LTDA.","Sem emergência"
"MOSAIC FERTILIZANTES P&K LTDA.","Sem emergência"
"MINERACAO DESCALVADO LIMITADA","Sem emergência"
"MOSAIC FERTILIZANTES P&K LTDA.","Sem emergência"
"MOSAIC FERTILIZANTES P&K LTDA.","Sem emergência"
"MOSAIC FERTILIZANTES P&K LTDA.","Sem emergência"
"SICAL INDUSTRIAL LTDA.","Sem emergência"
"VALE S.A.","Sem emergência"
"VALE S.A.","Sem emergência"
"VALE S.A.","Sem emergência"
"LHG MINING CORUMBA S.A","Sem emergência"
"NIKI MINERACAO, COMERCIO E EXPORTACAO LTDA.","Sem emergência"
"VALE S.A.","Sem emergência"
"ALAIN STEPHANE RIVIERE MINERACAO","Sem emergência"
"Geominas Minerações Ltda.","Sem emergência"
"Geominas Minerações Ltda.","Sem emergência"
"PEDREIRA IBIUNA LTDA","Sem emergência"
"LHG MINING CORUMBA S.A","Sem emergência"
"ADAO AFONSO RODUI","Emergência Nivel 1"
"A. C. ZARANELLA LTDA","Sem emergência"
"Valdinei Mauro de Souza","Sem emergência"
"MINERACAO POSITIVA LTDA EM","Sem emergência"
"MINERACAO POSITIVA LTDA EM","Sem emergência"
"MINERACAO SANTA LUZIA LIMITADA","Sem emergência"
"MINERACAO CARAIBA S/A","Sem emergência"
"MINERACAO CARAIBA S/A","Sem emergência"
"MINERACAO CARAIBA S/A","Sem emergência"
"SAINT-GOBAIN DO BRASIL PRODUTOS INDUSTRIAIS E PARA CONSTRUCAO LTDA","Sem emergência"
"SAINT-GOBAIN DO BRASIL PRODUTOS INDUSTRIAIS E PARA CONSTRUCAO LTDA","Sem emergência"
"MINERACAO CARAIBA S/A","Sem emergência"
"MINERACAO CARAIBA S/A","Sem emergência"
"MINERACAO CARAIBA S/A","Emergência Nivel 1"
"MINERACAO CARAIBA S/A","Sem emergência"
"MINERACAO CARAIBA S/A","Sem emergência"
"MINERACAO CARAIBA S/A","Sem emergência"
"MINERACAO CARAIBA S/A","Sem emergência"
"METALMIG MINERACAO INDUSTRIA E COMERCIO S/A","Sem emergência"
"METALMIG MINERACAO INDUSTRIA E COMERCIO S/A","Sem emergência"
"MINERACAO CARAIBA S/A","Sem emergência"
"MINERACOES GERAIS LTDA","Sem emergência"
"SIDNEI RAFAEL DE SOUZA","Sem emergência"
"MOSAIC FERTILIZANTES P&K LTDA.","Sem emergência"
"METALMIG MINERACAO INDUSTRIA E COMERCIO S/A","Sem emergência"
"METALMIG MINERACAO INDUSTRIA E COMERCIO S/A","Sem emergência"
