"nome","nomemina"
"BACIA DE REJEITO MINERGOLD","NSL 01"
"BARRAGEM BLOCO  SUL","Sump da Pilha 1"
"BARRAGEM","Barragem Cava 14"
"Barragem de Rejeitos Bom Futuro","Martins 2"
"Barragem de Rejeito Estrela 03","CAFUNDÓ"
"REJEITO USINA","Dique do Puma 08"
"Barragem EPP","SP-24A"
"Barragem MRDM","SP-24B"
"BARRAGEM T02","SP-24C"
"BARRAGEM T03","Mosquitos"
"Santa Líbera","TQ 63202 - Bacia de Finos Cachoeira"
"BARRAGEM DE REJEITOS PGDM","TQ 63201 - Pré Bacia Cachoeira"
"Taboquinha 01 - Crente","Dique de finos 01 - Depósito Área VIII"
"Taboquinha 02 - Serra Azul","BACIA DE DECANTAÇÃO  DIQUE DE ENROCAMENTO PDE6 - FASE 1"
"Taboquinha 03","Barragem Metago"
"Taboquinha 04","Pera Montante"
"OURO BRANCO OESTE","VILA NOVA"
"Alemães","Elvo Captação"
"Bacia Lavador de Rodas","SR.PEDRINHO"
"Baias da UTM II","BARRAGEM JF ROST"
"Bacia de Conteção de Finos da PDE-A Norte","BARRAGEM DE REJEITO NORMA"
"Bacia de Conteção de Finos da PDE-A Sul","SÃO RAFAEL"
"Dique Norte da PDE 1","Chácara Santa Maria"
"North Mill Pond","BRAVO IV"
"TAP D","P1-1"
"Dique 1 (Barragem 2 -Britagem)","Beariz"
"Dique 3 (Barragem 1 - Portaria)","Mosquitos 2"
"Dique 4 (Barragem 3 - Bota fora)","Barragem Rejeito Max 2"
"Dique 5 (Barragem 4 - Bota fora)","Dique 1 (Barragem 2 -Britagem)"
"Bacia 1 A","B1"
"Bacia 1 B","Isa"
"Bacia 2","BARRAGEM DE REJEITOS PGDM"
"Bacia 3","Barragem VERA"
"Bacia 5 A","Barragem XAVIER"
"Bacia 5 B","QB-01"
"Bacia 5 C","Dique Pilha Brumado"
"Bacia 6 A","BARRAGEM MANAH 1"
"Bacia de Segurança","Barragem Sul"
"Bacia B 1","TANQUE DE DECANTAÇÃO"
"Bacia de Controle Ambiental","Barragem PM1"
"Deposito de Rejeito R4","Barragem de Sedimentos da Pedreira Itapeti - BA2"
"RESERVATÓRIO 01","Barragem B1A"
"MNP-01","Barragem Quéias"
"RESERVATÓRIO 01","Dique B3"
"Bacia 01","Dique B4"
"Bacia 07","TD1"
"Bacia 08","TD4"
"Bacia 09","Sedimentacao IV"
"Bacia 15","km 190"
"Bacia 16","Baixinhos"
"Bacia 17","T11"
"Capão da Serra","Sentinela"
"Horizontes","Sedimentacao V"
"Vargem Grande","Tupa 1"
"B","Barragem GMX"
"II","Dique Santa Cruz"
"III","Barragem de Rejeito 01"
"Peneirinha","VICTOR"
"Reservatório 01","LV-01"
"RESERVATÓRIO 01","Barragem Sankara"
"Dique BIII-2","Sítio Horii"
"Dique BIII-3","Barragem da Mina II"
"Bacia de Finos da Mina do Recreio","Barragem B1"
"Bacia de Finos da Mina do Cerro","Barragem B2"
"B1","Lagoa 1"
"BARRAGEM DA USINA","Lagoa 2"
"B1","6"
"Medrado 1","BARRAGEM BOM JARDIM"
"Medrado 2","Barragem de Rejeitos"
"Medrado 3","Barragem de Mercês"
"Barragem de Contenção de Sedimentos do Josino","Dique de Contenção de Sedimentos 02"
"Dique de Sedimentos da PDE Cava Sul","Dique de Contenção de Sedimentos 04"
"BARRAGEM DO SOSSEGO","Dique de Contenção de Sedimentos 05"
"CSO1","EB-2"
"PN - 1","Dique de Contenção de Sedimentos 03"
"PN - 3","BARRAGEM DO BURACO"
"PN - 4","Unidade I"
"PN - 6","Unidade II"
"PS -1","Unidade IB"
"11 - DES","Unidade IIB"
"12 - DES","0-1"
"13 - AN","103 (Cruz)"
"Barragem de Rejeitos do Córrego Baco Pari","111 (Índio)"
"Igarapé Mutum","158 (A-1)"
"Jacaré Inferior","161 (A-2)"
"Jacaré Medio","444 (A-3)"
