"nome","nomemina","nomeempreendedor","uf"
"Gregório","Lagoa de Disposição n°05 - LD5","Alcoa World Alumina Brasil Ltda.","PA"
"CA01","Barragem B4","HERCULANO MINERACAO LTDA","MG"
"CA02","Barragem MCSA","MINERACAO CARAIBA S/A","MG"
"Queimada","Barragem 03 - Zé da Grota","Minerita Minérios Itaúna Ltda.","MT"
"Planta","Barragem 02 - Canindé","Minerita Minérios Itaúna Ltda.","MG"
"Bacia B-9","BARRAGEM SUL OU TANQUE VELHO","MINERACAO TABIPORA LTDA","MG"
"Barragem B-6","BARRAGEM DE REJEITOS DO MIRIM","SALOBO METAIS S/A","MG"
"Barragem Sul","BARRAGEM DE FINOS II","SALOBO METAIS S/A","MG"
"BARRAGEM USINA/CIP - LAGO 1 E 2","DIQUE DE FINOS I","SALOBO METAIS S/A","MG"
"BARRAGEM USINA/CIP - LAGO 3","DIQUE DE FINOS III","SALOBO METAIS S/A","MG"
"BARRAGEM USINA/CIP - LAGO 4","DIQUE DE FINOS II","SALOBO METAIS S/A","SP"
"Barragem Morro Pelado","Dique BIII-2","M B L MATERIAIS BASICOS LTDA","BA"
"Fiori","Beariz 2","EXTRACAO DE MINERIO BEARIZ LTDA","BA"
"Conterpa","Barragem de Rejeitos - BAR","INDUSTRIAS NUCLEARES DO BRASIL S.A - INB","MA"
"Conjunto de cavas em desativação recuperação","Bacia Nestor Figueiredo - BNF","INDUSTRIAS NUCLEARES DO BRASIL S.A - INB","BA"
"decantação de finos / reservatorio agua processo","Barragem 02","CSN CIMENTOS S.A.","BA"
"Deposito de Finos Porto de Areia Serramar","Barragem 03","CSN CIMENTOS S.A.","BA"
"Cava Camarinha","Barragem Serra Azul","ARCELORMITTAL BRASIL S.A.","PA"
"Cava Pedrinhas","Barragem de Sedimentos da Pedreira Itapeti - BA1","EMBU S A ENGENHARIA E COMERCIO","PA"
"Area M","Barragem de Sedimentos da Pedreira Juruaçu - BA4","EMBU S A ENGENHARIA E COMERCIO","MG"
"R22","BARRAGEM DE LIXIVIAÇÃO","SANTA LUZ DESENVOLVIMENTO MINERAL LTDA","MG"
"R75","BARRAGEM DE FLOTAÇÃO","SANTA LUZ DESENVOLVIMENTO MINERAL LTDA","MG"
"CAVA 1","Barragem do Vené II","MINERACAO AURIZONA S/A","MG"
"CAVA 2","Barrragem do Vené","MINERACAO AURIZONA S/A","MG"
"Lagoa 1","BARRAGEM USINA/CIP - LAGO 1 E 2","FAZENDA BRASILEIRO DESENVOLVIMENTO MINERAL LTDA","MG"
"Boa Sorte","BARRAGEM USINA/CIP - LAGO 3","FAZENDA BRASILEIRO DESENVOLVIMENTO MINERAL LTDA","MG"
"Dutra","BARRAGEM USINA/CIP - LAGO 4","FAZENDA BRASILEIRO DESENVOLVIMENTO MINERAL LTDA","MG"
"Sedimentação de finos","Bacia 17","SERABI MINERACAO S.A.","MG"
"Barragem T04","BACIA DE REJEITOS 16","SERABI MINERACAO S.A.","MG"
"Pinheirinho","Dique Norte da PDE 1","GERDAU ACOMINAS S/A","MG"
"Bacia de Decantação Final No Bota Fora","BARRAGEM DO SABÃO I","SALITRE FERTILIZANTES LTDA.","MG"
"Casarão","Galego","VALE S.A.","MG"
"Cabeceiras","Sul Inferior","VALE S.A.","MG"
"Barragem Morro Pelado 2","Sul Superior","VALE S.A.","TO"
"BR SANTA FELICIDADE","Campo Grande","VALE S.A.","MT"
"BR BOSCO","Dicão Leste","VALE S.A.","MT"
"Dique Quéias - Captação de Água","Mosquito","VALE S.A.","MT"
"Barragem 01","Xingu","VALE S.A.","MT"
"BARRAGEM DO SABÃO I","Timbopeba","VALE S.A.","MG"
"Miraí","PDE Permanente II - Fase I","VALE S.A.","MG"
"Itamarati de Minas","Barragem de Rejeito Almas","AURA ALMAS MINERACAO S/A","MG"
"Bacia 02-03 Alto da Serra Mn","B1","Valdinei Mauro de Souza","MG"
"LE - Lagoa de Espessamento","Barragem T08","SALINAS GOLD MINERACAO LTDA","MG"
"LD1 - Lagoa de Disposição 01","Moça Bonita","SALINAS GOLD MINERACAO LTDA","PA"
"LD2 - Lagoa de Disposição 02","Barragem 01","SALINAS GOLD MINERACAO LTDA","MT"
"LD3 - Lagoa de Disposição 03","5 (MAC)","VALE S.A.","MS"
"Dique S4","7B","VALE S.A.","MS"
"LV-01","Barragem B","PATOS DE MINAS FOSFATADOS LTDA","MG"
"Dique S3","Capim Branco","VALE S.A.","MT"
"Barragem de Decantação de Água e Polpa - EBII - Mineroduto","Menezes I","VALE S.A.","MT"
"Dique B2 - Pilha de Estéril João Manoel","Menezes II","VALE S.A.","MT"
"Dique B3 - Pilha de Estéril João Manoel","VI","VALE S.A.","MT"
"Barragem Eixo 1","VII","VALE S.A.","MT"
"Bacia 17","BARRAGEM DO SOSSEGO","SALOBO METAIS S/A","MT"
"12 - AN","Alain II","ALAIN STEPHANE RIVIERE MINERACAO","MG"
"TP3","Bacia B-9","VETRIA MINERACAO S.A.","MT"
"Barragem 1 - Dique de Contenção","FRANCÊS","ALAIN STEPHANE RIVIERE MINERACAO","MG"
"Barragem 2 - Captação de Água","Barragem B-6","VETRIA MINERACAO S.A.","MT"
"Dique 1","COQUEIRAL","EVANDRO DE SOUZA","MG"
"Barragem do Fundão","Barragem de Rejeito 01","A R WEBER","MT"
"Barragem dos Coqueiros","GONÇA","GONCALO PEDROSO DE BARROS","MG"
"Dique 2","CANGAS","JONAS GIMENEZ RODRIGUES","MT"
"Dique 3","RONDON","Roberto Nunes Rondon","MG"
"Dique BIII-6","MARANATA","SIDNEI RAFAEL DE SOUZA","MT"
"Dique BIII-7","Barragem Samambaia 0 (Zero)","MINERACAO USIMINAS S.A.","MG"
"BARRAGEM DIQUE 2","BR BOSCO","MAX JOEL RUSSI","MG"
"Dique de Captação","Dique Oeste","MINERACAO USIMINAS S.A.","MG"
"Dique - Pilha 2","BACIA DE REJEITOS BOM JARDIM","R G R FILHO MINERACAO","MG"
"Dique - Pilha 4","B3","VALE S.A.","MG"
"Dique Conquistinha","PDE 3","VALE S.A.","PA"
"Lagoa de Disposição n°04 - LD4","Bacia Grota da Onça","RENALDO RUDI SCHORK","PA"
"PDE02","Barragem Torto","VALE S.A.","PA"
"Pilha 01 - P1C1","Sul (Córrego do Canal)","VALE S.A.","MT"
"Pilha 01 P1C2","Porteirinha","VALE S.A.","MT"
"Pilha 01 - P1C3","Diogo","VALE S.A.","PA"
"Pilha 01 - P1C4","Monjolo","VALE S.A.","MT"
"Pilha 01 - P1C5","Elefante","VALE S.A.","PA"
"Pilha 01 - P1C6","BACIA DE REJEITOS SÃO BENTO","ROSEMEIRE BENEDETTI ALVES","MT"
"Pilha 01 - P1C7","Barragem de Rejeitos SB 02","ROSEMEIRE BENEDETTI ALVES","MT"
"Pilha 01 - P1C8","Estéril Sul","VALE S.A.","PA"
"Pilha 01 - P1C9","Pera Jusante","VALE S.A.","MT"
"Pilha 05 - P5C1","Jacaré","VALE S.A.","BA"
"Pilha 05 - P5C2","Barragem 01","Valdinei Mauro de Souza","BA"
"Pilha 05 - P5C3","Barragem 02","Valdinei Mauro de Souza","PA"
"Pilha 05 - P5C4","Geladinho","VALE S.A.","MG"
"Pilha 05 - P5C5","Barragem de Rejeito 1","Valdinei Mauro de Souza","MT"
"Pilha 05 - XC1","Azul","VALE S.A.","MG"
"Pilha 05 - P5XC2","SANDRO GOMES","Valdinei Mauro de Souza","MG"
"BARAÚNA - PBC1","BARRAGEM T01","Valdinei Mauro de Souza","MG"
"BARAÚNA - PBC2","Kalunga","VALE S.A.","MG"
"BARAÚNA - PBC3","Barragem AFGM GP2","Valdinei Mauro de Souza","MG"
"BARRAGEM B1","BARRAGEM 02","JACOBINA MINERACAO E COMERCIO LTDA","MG"
"Baia 4","Barragem 01","JACOBINA MINERACAO E COMERCIO LTDA","PA"
"Água Fria","5 (Mutuca)","VALE S.A.","MG"
"Volta Grande 3","Alto Jacutinga","VALE S.A.","MG"
"Dique de Finos I","Nova Baixo João Pereira","VALE S.A.","MG"
"Dique de Finos II","Barnabé","VALE S.A.","MG"
"Dique dos Búfalos","Barnabé 1","VALE S.A.","MG"
"Dique do Puma 01","Forquilha I","VALE S.A.","MG"
"BACIA DE DECANTAÇÃO - PLANTA I","Forquilha II","VALE S.A.","MG"
"MD 05/2016","Maney Mineração","Valdinei Mauro de Souza","MG"
"Barragem B6","Marés I","VALE S.A.","MG"
"Dique de finos 01 - Depósito Tamanduá","Marés II","VALE S.A.","MG"
"Dique de finos 02 - Depósito Tamanduá","B","VALE S.A.","MG"
"Dique de finos 03 - Depósito Tamanduá","Capão da Serra","VALE S.A.","MG"
"Bom Retiro 2","Cianita 1","VALE S.A.","MG"
"Barragem do Serginho","Cianita 2","VALE S.A.","MG"
"MBR II SUL","Cianita 3","VALE S.A.","MT"
"Barragem de Rejeito Não Magnético 04","Horizontes","VALE S.A.","GO"
"Dique Portaria","II","VALE S.A.","MT"
"Pond - PDE Sul","III","VALE S.A.","MT"
"OURO FINO","Água Fria","Topazio Imperial Mineração Comercio e Industria Ltda","MG"
"GAÚCHO","Maravilhas II","VALE S.A.","MG"
"Cianita 2","Maravilhas III","VALE S.A.","MG"
"Cianita 3","Peneirinha","VALE S.A.","MG"
"BARRAGEM GEOMINAS-001","Vargem Grande","VALE S.A.","MG"
"BARRAGEM GEOMINAS-002","FAZENDA 4M","MARCELO BOZETTI","MT"
"MBR II NORTE","Barragem de Rejeitos do Córrego Baco Pari","MINERACAO MARACA INDUSTRIA E COMERCIO S/A","PA"
"Moça Bonita","OURO FINO","SANDER LIMA DE FRANCA","PA"
"Maney Mineração","FRED","FREDERICO AUGUSTO DE ARRUDA GIMENEZ MINERACAO","PA"
"Santa Tereza II","Área IX","VALE S.A.","PA"
"RODUÍ II","BARRAGEM 7","VALE S.A.","MT"
"Barragem de Rejeito 1","Dique de Pedra","VALE S.A.","MG"
"Barragem T05","Forquilha IV","VALE S.A.","MG"
"Barragem T06","Forquilha V","VALE S.A.","MG"
"BR ISMAEL","Grupo","VALE S.A.","MG"
"Barragem B1","Forquilha III","VALE S.A.","MG"
"Barragem B3","JOAO PAULO","ELISA MACIEL SANTOS RIVA","MG"
"SANTA LUZIA","Barragem B2","M. M. GOLD MINERACAO LTDA","MG"
"Dique de Contenção de Sedimentos 03","Barragem B1","M. M. GOLD MINERACAO LTDA","MG"
"Dique de Contenção de Sedimentos 04","Barragem B5","M. M. GOLD MINERACAO LTDA","MT"
"Maravilhas III","Barragem Antas Norte","AVB MINERACAO LTDA.","MT"
"P6C4","ED Monjolo","VALE S.A.","MT"
"P6C01","ED Vale das Cobras","VALE S.A.","MT"
"P6C02","Norte/Laranjeiras","VALE S.A.","MG"
"TQ-1","Novo Dique dos Macacos","SAMARCO MINERACAO S.A. EM RECUPERACAO JUDICIAL","MT"
"TQ-2","Barragem de Germano","SAMARCO MINERACAO S.A. EM RECUPERACAO JUDICIAL","BA"
"PILHA01-C10","Dique 1010","SAMARCO MINERACAO S.A. EM RECUPERACAO JUDICIAL","MT"
"PILHA01-C11","Barragem Eixo 1","SAMARCO MINERACAO S.A. EM RECUPERACAO JUDICIAL","MT"
"PILHA01-C12","Nova Barragem de Santarém","SAMARCO MINERACAO S.A. EM RECUPERACAO JUDICIAL","MT"
"PILHA01-C13","Cava do Germano","SAMARCO MINERACAO S.A. EM RECUPERACAO JUDICIAL","MT"
"PILHA05-C06","CASA DE PEDRA","CASA DE PEDRA LTDA","MT"
"PILHA07-C1","Barragem de Rejeito Max","Marcio Nascimento","MG"
"PILHA05-XC03","Dique S4","SAMARCO MINERACAO S.A. EM RECUPERACAO JUDICIAL","MG"
"SP19","TB01","VM MINERACAO LTDA","RN"
"Barragem de Rejeito Estrela","Barragem TB02","VM MINERACAO LTDA","BA"
"Barragem de Rejeito Estrela 02","Agua Limpa","GRANHA LIGAS LTDA","BA"
"BR SANTA 01","Planta","PROMETALICA MINERACAO LTDA","MG"
"Santa Maria","Barragem Santa Rita","ATLANTIC NICKEL MINERACAO LTDA","MG"
"Lagoa de Disposição n°05 - LD5","BARRAGEM T02","Euler Oliveira Coelho","MG"
"PILHA 06 - P6C3","Barragem EPP","MINERACAO APOENA S.A.","MG"
"Gerais II","Cabeceiras","MINERACAO APOENA S.A.","MG"
"MARANATA II","Casarão","MINERACAO APOENA S.A.","SC"
"Unidade IB","Dique de Finos","MINERACAO APOENA S.A.","MG"
"Barragem Torto","Dique S3","SAMARCO MINERACAO S.A. EM RECUPERACAO JUDICIAL","SC"
"Dique dos Borges","Barragem de Decantação de Água e Polpa - EBII - Mineroduto","SAMARCO MINERACAO S.A. EM RECUPERACAO JUDICIAL","MG"
"CA03","Dique de Finos","CASCAR BRASIL MINERACAO LTDA","SC"
"CA04","Cava Camarinha","CIA DE FERRO LIGAS DA BAHIA FERBASA","MG"
"QUEIMADA02","Cava Pedrinhas","CIA DE FERRO LIGAS DA BAHIA FERBASA","SC"
"QUEIMADA03","B6","VALE S.A.","MG"
"MANÉ","B7","VALE S.A.","MG"
"Barragem AFGM GP2","Taquaras","VALE S.A.","MG"
"PILHA 01 - P1C14","Alcindo Vieira","VALE S.A.","MG"
"PILHA 05 - P5C07","Cemig I","VALE S.A.","MG"
"PILHA 05 - P5C08","Bacia A","CARBONIFERA METROPOLITANA S/A","MG"
"PILHA 05 - P5C09","Cemig II","VALE S.A.","MG"
"Grameiro","Bacia B","CARBONIFERA METROPOLITANA S/A","SP"
"Novo Dique dos Macacos","Conceição","VALE S.A.","SP"
"LD6 - Lagoa de Disposição 6","Bacia de Acumulação A","CARBONIFERA METROPOLITANA S/A","SP"
"PILHA 01 - PIC1A","Itabiruçu","VALE S.A.","SP"
"PILHASUL - PCS1","Bacia de Acumulação B","CARBONIFERA METROPOLITANA S/A","MG"
"PILHASUL - PCS2","Jirau","VALE S.A.","MG"
"PILHASUL - PCS3","Piabas","VALE S.A.","MG"
"ED Vale das Cobras","Santana","VALE S.A.","MG"
"ED Monjolo","Borrachudo II","VALE S.A.","SC"
"Xingu","B5","VERMELHAO MINERACAO INDUSTRIA E COMERCIO LTDA","SC"
"Chapadinha 061 B","Cambucal II","VALE S.A.","MG"
"Barragem Oriente01","Pontal","VALE S.A.","MG"
"SP-25A","BACIA DE DECANTAÇÃO - PLANTA I","Geocal Mineração Ltda","SC"
"BR SANTA FELICIDADE 02","Barragem 1","MOSAIC FERTILIZANTES P&K LTDA.","MG"
"BR PIRÂMIDE","Barragem 2","MOSAIC FERTILIZANTES P&K LTDA.","PR"
"Berion","Barragem B12","MOSAIC FERTILIZANTES P&K LTDA.","MG"
"Campos","Barragem A","MOSAIC FERTILIZANTES P&K LTDA.","PR"
"Elvo 1","Barragem A0","MOSAIC FERTILIZANTES P&K LTDA.","MG"
"Barragem TB02","Itamarati de Minas","COMPANHIA BRASILEIRA DE ALUMINIO","MG"
"Bacia de Decantação S1","Miraí","COMPANHIA BRASILEIRA DE ALUMINIO","MG"
"Fortuna","Barragem Lauro Muller - Bacia 4","Carbonífera Belluno Ltda.","MG"
"Bacia de Acumulação A","Barragem Lauro Muller","Carbonífera Belluno Ltda.","MG"
"Bacia de Acumulação B","Moita","MINERACAO SERRAS DO OESTE LIMITADA","MG"
"BR SANTA FELICIDADE 03","Turmalina","MINERACAO SERRAS DO OESTE LIMITADA","MG"
"T G de Souza","Barragem Rio Fiorita","Carbonífera Belluno Ltda.","MG"
"Dorival","Barragem B1/B4","MOSAIC FERTILIZANTES P&K LTDA.","MG"
"Barragem Lauro Muller - Bacia 4","Bacia de Decantação Final No Bota Fora","MINERACAO NOSSA SENHORA DO CARMO LTDA","MG"
"Bacia de Acumulação de Efluente Tratado","Barragem B6","MOSAIC FERTILIZANTES P&K LTDA.","GO"
"Rabo de Bica","Pinheirinho","MINERACAO NOSSA SENHORA DO CARMO LTDA","GO"
"Santa Helena","Barragem E","MOSAIC FERTILIZANTES P&K LTDA.","SE"
"Leste","Barragem F","MOSAIC FERTILIZANTES P&K LTDA.","SE"
"Barragem Candonga","Barragem B5","MOSAIC FERTILIZANTES P&K LTDA.","MG"
"Barragem Jatobá","Barragem B2","MOSAIC FERTILIZANTES P&K LTDA.","MG"
"BARRAGEM ÁGUA BRANCA","Barragem BA-3","MOSAIC FERTILIZANTES P&K LTDA.","MG"
"6","Barragem BD-2","MOSAIC FERTILIZANTES P&K LTDA.","MT"
"7a","Barragem BD-5","MOSAIC FERTILIZANTES P&K LTDA.","MG"
"Dique 1","Barragem BL-1","MOSAIC FERTILIZANTES P&K LTDA.","MS"
"Área IX","Barragem BRI","MOSAIC FERTILIZANTES P&K LTDA.","AL"
"Dique IV","Barragem BR","MOSAIC FERTILIZANTES P&K LTDA.","MG"
"Dique V","Barragem BM","MOSAIC FERTILIZANTES P&K LTDA.","MG"
"Dique VII","Barragem BR","MOSAIC FERTILIZANTES P&K LTDA.","MG"
"Alvo Crente","Dique de Contenção de Salmoura","MOSAIC FERTILIZANTES P&K LTDA.","MG"
"LD7 - Lagoa de Disposição 7","Dique de Resíduos Insóluveis","MOSAIC FERTILIZANTES P&K LTDA.","MG"
"BR BRASÃO","Cachoeirinha","VALLOUREC TUBOS DO BRASIL LTDA.","MG"
"Elvo Captação","Dique Lisa","VALLOUREC TUBOS DO BRASIL LTDA.","MT"
"BRASE01","Santa Bárbara","VALLOUREC TUBOS DO BRASIL LTDA.","MG"
"Barragem I","BARRAGEM JVR","JOAO ROBERTO CARDOSO","MT"
"Barragem Magrini","B4","ITAMINAS COMERCIO DE MINERIOS SA","MG"
"PILHA 01 - PIC16","Gregório","LHG MINING CORUMBA S.A","MT"
"PILHA 01 - PIC17","BARRAGEM SERROTE","MINERACAO VALE VERDE DO BRASIL LTDA.","MG"
"PILHA 06 - P6C5","Barragem Eustáquio","KINROSS BRASIL MINERACAO S/A","MT"
"BARRAGEM SERROTE","Barragem Santo Antônio","KINROSS BRASIL MINERACAO S/A","MG"
"Agua Limpa","Tanque Específico IX-B","KINROSS BRASIL MINERACAO S/A","MT"
"Barragem T08","Tanque Específico X","KINROSS BRASIL MINERACAO S/A","PA"
"Barragem T09","Tanque Específico XI","KINROSS BRASIL MINERACAO S/A","PA"
"FRANCÊS","Tanque Específico XII","KINROSS BRASIL MINERACAO S/A","PA"
"Barragem de Mineração-CPM","BR PIRÂMIDE","SANTA FELICIDADE MINERACAO SPE LTDA","PA"
"JABURU","Rio do Peixe","VALE S.A.","PA"
"ARENAL","BR SANTA FELICIDADE","SANTA FELICIDADE MINERACAO SPE LTDA","PA"
"Dique B2","Borrachudo","VALE S.A.","PA"
"Davi","BR SANTA 01","SANTA FELICIDADE MINERACAO SPE LTDA","PA"
"Fazenda Nova","Cambucal I","VALE S.A.","PA"
"Isa","BR SANTA FELICIDADE 03","SANTA FELICIDADE MINERACAO SPE LTDA","PA"
"SOL NASCENTE","Quinzinho","VALE S.A.","PA"
"Barragem Torio 01","TR1","Pollyana Moreira Dias","PA"
"MASSANGANA 01","Bacia 1 A","ARTEMYN RIO CAPIM CAULIM LTDA.","PA"
"SR.PEDRINHO","Bacia 1 B","ARTEMYN RIO CAPIM CAULIM LTDA.","MT"
"FAZENDA 4M","Bacia 2","ARTEMYN RIO CAPIM CAULIM LTDA.","MT"
"BP-01","Bacia 3","ARTEMYN RIO CAPIM CAULIM LTDA.","MT"
"BP-02","Bacia 5 A","ARTEMYN RIO CAPIM CAULIM LTDA.","MT"
"Tadeu","Bacia 5 B","ARTEMYN RIO CAPIM CAULIM LTDA.","MT"
"Labourrie","Bacia 5 C","ARTEMYN RIO CAPIM CAULIM LTDA.","MT"
"SERRA","Bacia 6 A","ARTEMYN RIO CAPIM CAULIM LTDA.","PA"
"BRAVO II","Bacia de Segurança","ARTEMYN RIO CAPIM CAULIM LTDA.","PA"
"Barragem 01","Bacia 6B","ARTEMYN RIO CAPIM CAULIM LTDA.","MT"
"Barragem 02","Bacia B 1","PARA PIGMENTOS S A","MG"
"JABURU 2","Deposito de Rejeito R4","PARA PIGMENTOS S A","MG"
"Neta","Bacia de Controle Ambiental","PARA PIGMENTOS S A","PA"
"Bacia 6B","BR BRASÃO","JOSE MARIA OTAVIO MARTINS DUARTE","PA"
"Barragem Fazenda Aguassu","Santa Maria","JOSE MARIA OTAVIO MARTINS DUARTE","PA"
"Martins","Barragem de Rejeitos Bom Futuro","JOSE MARIA OTAVIO MARTINS DUARTE","PA"
"BARRAGEM COOP 01","BRAVO 1","NAGELLA CHRISSIE BRAVO SERRA","PA"
"Dique do Grotão","Tanque Fundo","Humberto Covezzi","PA"
"Barragem B1","JABURU","Joaquim Aderaldo de Souza Neto","PA"
"BARRAGEM JVR","Barragem Tocantinzinho","BRAZAURO RECURSOS MINERAIS S.A.","PA"
"Barragem  LVR","Célula 01","BRAZAURO RECURSOS MINERAIS S.A.","PA"
"VALE GOLD","Barragem Jatobá","VALDEMIR CARLOS DE SOUZA","PA"
"Bacia do Castanheira","Alemães","GERDAU ACOMINAS S/A","PA"
"LD-01","COCURUTO","ANGLOGOLD ASHANTI CORREGO DO SITIO MINERACAO S.A.","MT"
"Pilha 07 - P7C2","Baias da UTM II","GERDAU ACOMINAS S/A","PA"
"Barragem TB","Barragem A1","MINERACAO RIO DO NORTE SA","PA"
"Barragem de Rejeitos SB 02","Barragem Água Fria","MINERACAO RIO DO NORTE SA","PA"
"BR ÁGUA DE COCO","SP2_3","MINERACAO RIO DO NORTE SA","PA"
"CHIMBUVA","SP6","MINERACAO RIO DO NORTE SA","PA"
"Dique de Pedra","SP8","MINERACAO RIO DO NORTE SA","PA"
"Barragem Quéias","SP9","MINERACAO RIO DO NORTE SA","PA"
"brejão","SP10","MINERACAO RIO DO NORTE SA","PA"
"MULTI 1","SP11","MINERACAO RIO DO NORTE SA","PA"
"Barragem JL","SP13","MINERACAO RIO DO NORTE SA","PA"
"BRITO","SP14","MINERACAO RIO DO NORTE SA","PA"
"Barragem B1","SP15","MINERACAO RIO DO NORTE SA","PA"
"Barragem B2","SP4 Norte","MINERACAO RIO DO NORTE SA","PA"
"Barragem B5","SP7A","MINERACAO RIO DO NORTE SA","PA"
"PILHA 11 - P11C1","SP9A","MINERACAO RIO DO NORTE SA","PA"
"PILHA 11 - P11C2","TP3","MINERACAO RIO DO NORTE SA","PA"
"Dique de Contenção de Sedimentos 05","SP12","MINERACAO RIO DO NORTE SA","PA"
"PILHA11 - P11C3","SP-25A","MINERACAO RIO DO NORTE SA","PA"
"PILHA11 - P11C4","SP-25B","MINERACAO RIO DO NORTE SA","SP"
"Cajueiro","SP-25C","MINERACAO RIO DO NORTE SA","MG"
"Barragem 1","SP16","MINERACAO RIO DO NORTE SA","MG"
"Barragem 2","SP19","MINERACAO RIO DO NORTE SA","MG"
"Barragem 3","SP4 Sul","MINERACAO RIO DO NORTE SA","MG"
"Barragem 4","SP5 Leste","MINERACAO RIO DO NORTE SA","MG"
"TUPA 2","SP5 Oeste","MINERACAO RIO DO NORTE SA","SP"
"TUPA 3","SP7B","MINERACAO RIO DO NORTE SA","MG"
"Barragem Jauru","SP7C","MINERACAO RIO DO NORTE SA","MG"
