"nome","nomemina","nomeempreendedor","uf"
"SP-25C","CONTENÇÃO DE REJEITOS DE CUIABÁ","ANGLOGOLD ASHANTI CORREGO DO SITIO MINERACAO S.A.","MT"
"BARRAGEM 03","CALCINADOS","ANGLOGOLD ASHANTI CORREGO DO SITIO MINERACAO S.A.","MT"
"Barragem de Rejeito - Mineração Ouro Fino","RAPAUNHA","ANGLOGOLD ASHANTI CORREGO DO SITIO MINERACAO S.A.","MG"
"Mineração Livramento","Barragem do Serginho","SERGIO DA SILVA","RO"
"P.R.A","DIQUE D","Brasmic Mineração Areia e Brita Ltda","RO"
"Barragem de Rejeitos - BAR","Bacia de Finos da Mina do Recreio","Copelmi Mineração Ltda","SC"
"BARRAGEM D4","Bacia de Finos da Mina do Cerro","Copelmi Mineração Ltda","RO"
"TQ 6301 A - POND 1 A","BARRAGEM DO VIGIA","CSN MINERACAO S.A.","AP"
"TQ 6301 B - POND 1 B","BARRAGEM B4","CSN MINERACAO S.A.","MT"
"TQ 6302 - POND 2","BARRAGEM CASA DE PEDRA","CSN MINERACAO S.A.","BA"
"TQ 6303 - POND 3","BARRAGEM T03","MINERBRAS MINERACAO LTDA","BA"
"BR02","POND 1 - BARRAGEM DE LIXIVIAÇÃO","NX GOLD S.A. Filial: NX GOLD S.A.","BA"
"BR03","POND 2 - BARRAGEM DE FLOTAÇÃO","NX GOLD S.A. Filial: NX GOLD S.A.","BA"
"Bacia Nestor Figueiredo - BNF","POND 3 - BARRAGEM DE FLOTAÇÃO","NX GOLD S.A. Filial: NX GOLD S.A.","BA"
"Dique PDE 1","DIQUE DO ESMERIL IV","CSN MINERACAO S.A.","MT"
"Barragem de Rejeito Capim Gold 2","Igarapé Mutum","COOPERMETAL - COOPERATIVA METALURGICA DE RONDONIA","MT"
"Barragem do Vené II","Rio Santa Cruz","COOPERMETAL - COOPERATIVA METALURGICA DE RONDONIA","BA"
"Sistema de Contenção de Sedimentos Pinta Bem","BACIA DE DECANTAÇÃO DA USINA RIO FIORITA","GABRIELLA MINERACAO LTDA","BA"
"Dique de Contenção de Sedimentos Crista","Jacaré Inferior","COOPERATIVA DOS GARIMPEIROS DE SANTA CRUZ - COOPERSANTA","BA"
"Dique do Puma 04","Mario Cruz","DEV MINERACAO S.A. - EM RECUPERACAO JUDICIAL","RO"
"Barragem Tocantinzinho","B5","EUROMAQUINAS MINERACAO LTDA","RO"
"Célula 01","TQ 6301 A - POND 1 A","INDUSTRIAS NUCLEARES DO BRASIL S.A - INB","MT"
"NSL 01","TQ 6301 B - POND 1 B","INDUSTRIAS NUCLEARES DO BRASIL S.A - INB","MT"
