"nome","municipio"
"BARRAGEM DE DEPOSIÇÃO DE LAMA","POCONÉ"
"Fazenda Santa Fé","JAGUARARI"
"Barragem B12","JAGUARARI"
"BACIA DE DECANTAÇÃO DA USINA RIO FIORITA","SARZEDO"
"QUIXABA USINA","RIO CRESPO"
"BARRAGEM 01","PARANAÍTA"
"BARRAGEM 02","ARIQUEMES"
"BARRAGEM SÃO GERALDO","NOSSA SENHORA DO LIVRAMENTO"
"BARRAGEM SAO GERALDO 02","NOSSA SENHORA DO LIVRAMENTO"
"BARRAGEM TABOQUINHA","NOSSA SENHORA DO LIVRAMENTO"
"BARRAGEM TARILÂNDIA 01","VILA BELA DA SANTÍSSIMA TRINDADE"
"BARRAGEM 339","NOSSA SENHORA DO LIVRAMENTO"
"BARRAGEM 341","NOSSA SENHORA DO LIVRAMENTO"
"BARRAGEM URUPA 01","NOSSA SENHORA DO LIVRAMENTO"
"Santa Tereza","NOSSA SENHORA DO LIVRAMENTO"
"Barragem da Grota","ITABIRITO"
"Tanque Fundo","ITABIRITO"
"BARRAGEM 7","JUÍNA"
"TB01","NOSSA SENHORA DO LIVRAMENTO"
"Barragem Aroeira","JAGUARARI"
"Modulo 3","CUIABÁ"
"Rejeito","NOSSA SENHORA DO LIVRAMENTO"
"BACIA DE REJEITOS SÃO BENTO","ALMAS"
"BARRAGEM DO BURACO","NOSSA SENHORA DO LIVRAMENTO"
"BARRAGEM BOM JARDIM","NOSSA SENHORA DO LIVRAMENTO"
"Barragem de Mercês","NOSSA SENHORA DO LIVRAMENTO"
"GERAIS","JAGUARARI"
"CAMC","JAGUARARI"
"Barragem MCSA","JAGUARARI"
"Dique 3","JAGUARARI"
"POND 1 - BARRAGEM DE LIXIVIAÇÃO","CALÇOENE"
"POND 2 - BARRAGEM DE FLOTAÇÃO","JACAREACANGA"
"Cachoeirinha","PORTO GRANDE"
"Dique Lisa","PORTO GRANDE"
"POND 3 - BARRAGEM DE FLOTAÇÃO","PORTO GRANDE"
"Santa Bárbara","PORTO GRANDE"
"CHAPADINHA 061","SÃO JOSÉ DOS QUATRO MARCOS"
"CHAPADINHA 221","JURUTI"
"PIRAPORÃO 138 II","NOSSA SENHORA DO LIVRAMENTO"
"BARRAGEM DE CLARIFICAÇÃO","POCONÉ"
"PIRAPORÃO 138 III","VÁRZEA GRANDE"
"Barragem de Rejeitos","NOVA BANDEIRANTES"
"SANGUINETE","POCONÉ"
"Barragem Salinas 1","ITABIRITO"
"B1","PONTES E LACERDA"
"B2","NOSSA SENHORA DO LIVRAMENTO"
"B4","NOVA BANDEIRANTES"
"Califórnia","ESMERALDAS"
"Marçu","ESMERALDAS"
"Rancho Casca","MOGI DAS CRUZES"
"Barragem 02 - Canindé","TATUÍ"
"Barragem 03 - Zé da Grota","BOFETE"
"Dique 01 - Serra Azul","ITAITUBA"
"Dique 02 - Pitangui","NOSSA SENHORA DO LIVRAMENTO"
"Dique 06 - Véu da Noiva Jusante","SANTO ANTÔNIO DE LEVERGER"
"Dique 08 - Pátio CMC","POCONÉ"
"Dique de Concreto","CARLINDA"
"Barragem 2 - Decantação","CURIONÓPOLIS"
"Guará 2","NOVA LACERDA"
"BACIA DE REJEITOS BOM JARDIM","ITATIAIUÇU"
"Guará 3","VÁRZEA GRANDE"
"TD2","UBERABA"
"Barragem de Rejeito 01","UBERABA"
"Dique de Contenção de Sedimentos 02","UBERABA"
"Barragem Serra Azul","UBERABA"
"EB-2","SÃO FÉLIX DO XINGU"
"Dique 01 de Terra","NOSSA SENHORA DO LIVRAMENTO"
"Dique 2 de Concreto","CUIABÁ"
"Pond de Emergência","POCONÉ"
"Dique 03","POCONÉ"
"Barragem de Rejeito Max","POCONÉ"
"BRAVO 1","NOSSA SENHORA DO LIVRAMENTO"
"Barragem 3A - Sedimentação","CUIABÁ"
"Barragem 3B - Sedimentação","CUIABÁ"
"Barragem 4 - Acumulação","POCONÉ"
"Barragem 5 - Captação","MAIQUINIQUE"
"Barragem 6 - Dique Filtrante","NOSSA SENHORA DO LIVRAMENTO"
"B5","NOSSA SENHORA DO LIVRAMENTO"
"barragem 7 - Dique Filtrante","NOSSA SENHORA DO LIVRAMENTO"
"Barragem 8 - Dique Filtrante","PONTES E LACERDA"
"Barragem 9 - Dique Filtrante","NOSSA SENHORA DO LIVRAMENTO"
"Bacuri","CUIABÁ"
"BACIA DE REJEITOS 16","SARZEDO"
"SAMACA","NOSSA SENHORA DO LIVRAMENTO"
"803.285/2014","ITABIRITO"
"BARRAGEM T01","SANTA BÁRBARA"
"CASA DE PEDRA","PARAUAPEBAS"
"BARRAGEM  BLOCO NORTE","POCONÉ"
"BACIA DE REJEITO MINERGOLD","NOSSA SENHORA DO LIVRAMENTO"
"BARRAGEM BLOCO  SUL","SABARÁ"
"BARRAGEM","ANALÂNDIA"
"Barragem de Rejeitos Bom Futuro","POCONÉ"
"Barragem de Rejeito Estrela 03","NIQUELÂNDIA"
"REJEITO USINA","PARAUAPEBAS"
"Barragem EPP","ORIXIMINÁ"
"Barragem MRDM","ORIXIMINÁ"
"BARRAGEM T02","ORIXIMINÁ"
"BARRAGEM T03","NIQUELÂNDIA"
"Santa Líbera","CAETITÉ"
"BARRAGEM DE REJEITOS PGDM","CAETITÉ"
"Taboquinha 01 - Crente","OUVIDOR"
"Taboquinha 02 - Serra Azul","TAPIRA"
"Taboquinha 03","CRIXÁS"
"Taboquinha 04","PARAUAPEBAS"
"OURO BRANCO OESTE","MAZAGÃO"
"Alemães","PONTES E LACERDA"
"Bacia Lavador de Rodas","PONTES E LACERDA"
"Baias da UTM II","SANTO ANTÔNIO DA PATRULHA"
"Bacia de Conteção de Finos da PDE-A Norte","POCONÉ"
"Bacia de Conteção de Finos da PDE-A Sul","POCONÉ"
"Dique Norte da PDE 1","SÃO BERNARDO DO CAMPO"
"North Mill Pond","NOSSA SENHORA DO LIVRAMENTO"
"TAP D","MINAS DO LEÃO"
"Dique 1 (Barragem 2 -Britagem)","PONTES E LACERDA"
"Dique 3 (Barragem 1 - Portaria)","NIQUELÂNDIA"
"Dique 4 (Barragem 3 - Bota fora)","NOSSA SENHORA DO LIVRAMENTO"
"Dique 5 (Barragem 4 - Bota fora)","SANTA ISABEL"
"Bacia 1 A","ITAPECERICA"
"Bacia 1 B","POCONÉ"
"Bacia 2","PILAR DE GOIÁS"
"Bacia 3","POCONÉ"
"Bacia 5 A","POCONÉ"
"Bacia 5 B","NOSSA SENHORA DO LIVRAMENTO"
"Bacia 5 C","SABARÁ"
"Bacia 6 A","NOSSA SENHORA DO LIVRAMENTO"
"Bacia de Segurança","CORUMBÁ"
"Bacia B 1","CORUMBATAÍ"
"Bacia de Controle Ambiental","JURUENA"
"Deposito de Rejeito R4","MOGI DAS CRUZES"
"RESERVATÓRIO 01","BRUMADINHO"
"MNP-01","BRUMADINHO"
"RESERVATÓRIO 01","BRUMADINHO"
"Bacia 01","BRUMADINHO"
"Bacia 07","ALAMBARI"
"Bacia 08","ALAMBARI"
"Bacia 09","SERRA DO NAVIO"
"Bacia 15","SERRA DO NAVIO"
"Bacia 16","SERRA DO NAVIO"
"Bacia 17","SERRA DO NAVIO"
"Capão da Serra","SERRA DO NAVIO"
"Horizontes","SERRA DO NAVIO"
"Vargem Grande","POCONÉ"
"B","NOSSA SENHORA DO LIVRAMENTO"
"II","OURO PRETO"
"III","NOSSA SENHORA DO LIVRAMENTO"
"Peneirinha","POCONÉ"
"Reservatório 01","PONTES E LACERDA"
"RESERVATÓRIO 01","NOVA LACERDA"
"Dique BIII-2","MOGI DAS CRUZES"
"Dique BIII-3","ARAXÁ"
"Bacia de Finos da Mina do Recreio","BRUMADINHO"
"Bacia de Finos da Mina do Cerro","BRUMADINHO"
"B1","SÃO SIMÃO"
"BARRAGEM DA USINA","SÃO SIMÃO"
"B1","NOVA LIMA"
"Medrado 1","MIRAÍ"
"Medrado 2","CONCEIÇÃO DO MATO DENTRO"
"Medrado 3","MERCÊS"
"Barragem de Contenção de Sedimentos do Josino","CONCEIÇÃO DO MATO DENTRO"
"Dique de Sedimentos da PDE Cava Sul","CONCEIÇÃO DO MATO DENTRO"
"BARRAGEM DO SOSSEGO","CONCEIÇÃO DO MATO DENTRO"
"CSO1","SANTO ANTÔNIO DO GRAMA"
"PN - 1","CONCEIÇÃO DO MATO DENTRO"
"PN - 3","OUVIDOR"
"PN - 4","OUVIDOR"
"PN - 6","OUVIDOR"
"PS -1","OUVIDOR"
"11 - DES","OUVIDOR"
"12 - DES","PRESIDENTE FIGUEIREDO"
"13 - AN","PRESIDENTE FIGUEIREDO"
"Barragem de Rejeitos do Córrego Baco Pari","PRESIDENTE FIGUEIREDO"
"Igarapé Mutum","PRESIDENTE FIGUEIREDO"
"Jacaré Inferior","PRESIDENTE FIGUEIREDO"
"Jacaré Medio","PRESIDENTE FIGUEIREDO"
"Jacaré Superior","PRESIDENTE FIGUEIREDO"
"Rio Santa Cruz","PRESIDENTE FIGUEIREDO"
"RESERVATÓRIO 01","RIACHO DOS MACHADOS"
"P1-1","JURUTI"
"RESERVATÓRIO 02","JURUTI"
"Unidade II","JURUTI"
"Unidade I","JURUTI"
"Unidade IIB","JURUTI"
"Bacia 05 Alto da Serra","JURUTI"
"Gregório","JURUTI"
"CA01","ITABIRITO"
"CA02","JAGUARARI"
"Queimada","ITATIAIUÇU"
"Planta","ITATIAIUÇU"
"Bacia B-9","CAMPO LARGO"
"Barragem B-6","MARABÁ"
"Barragem Sul","MARABÁ"
"BARRAGEM USINA/CIP - LAGO 1 E 2","MARABÁ"
"BARRAGEM USINA/CIP - LAGO 3","MARABÁ"
"BARRAGEM USINA/CIP - LAGO 4","MARABÁ"
"Barragem Morro Pelado","ITAÚNA"
"Fiori","PONTES E LACERDA"
"Conterpa","CALDAS"
"Conjunto de cavas em desativação recuperação","CALDAS"
"decantação de finos / reservatorio agua processo","ARCOS"
"Deposito de Finos Porto de Areia Serramar","ARCOS"
"Cava Camarinha","ITATIAIUÇU"
"Cava Pedrinhas","MOGI DAS CRUZES"
"Area M","SÃO PAULO"
"R22","SANTALUZ"
"R75","SANTALUZ"
"CAVA 1","GODOFREDO VIANA"
"CAVA 2","GODOFREDO VIANA"
"Lagoa 1","BARROCAS"
"Boa Sorte","BARROCAS"
"Dutra","BARROCAS"
"Sedimentação de finos","ITAITUBA"
"Barragem T04","ITAITUBA"
"Pinheirinho","ITABIRITO"
"Bacia de Decantação Final No Bota Fora","SERRA DO SALITRE"
"Casarão","SABARÁ"
"Cabeceiras","BARÃO DE COCAIS"
"Barragem Morro Pelado 2","BARÃO DE COCAIS"
"BR SANTA FELICIDADE","MARIANA"
"BR BOSCO","MARIANA"
"Dique Quéias - Captação de Água","CATAS ALTAS"
"Barragem 01","MARIANA"
"BARRAGEM DO SABÃO I","OURO PRETO"
"Miraí","MARIANA"
"Itamarati de Minas","ALMAS"
"Bacia 02-03 Alto da Serra Mn","NOSSA SENHORA DO LIVRAMENTO"
"LE - Lagoa de Espessamento","NOSSA SENHORA DO LIVRAMENTO"
"LD1 - Lagoa de Disposição 01","NOSSA SENHORA DO LIVRAMENTO"
"LD2 - Lagoa de Disposição 02","NOSSA SENHORA DO LIVRAMENTO"
"LD3 - Lagoa de Disposição 03","NOVA LIMA"
"Dique S4","NOVA LIMA"
"LV-01","PATOS DE MINAS"
"Dique S3","BRUMADINHO"
"Barragem de Decantação de Água e Polpa - EBII - Mineroduto","BRUMADINHO"
"Dique B2 - Pilha de Estéril João Manoel","BRUMADINHO"
"Dique B3 - Pilha de Estéril João Manoel","BRUMADINHO"
"Barragem Eixo 1","BRUMADINHO"
"Bacia 17","CANAÃ DOS CARAJÁS"
"12 - AN","POCONÉ"
"TP3","CORUMBÁ"
"Barragem 1 - Dique de Contenção","POCONÉ"
"Barragem 2 - Captação de Água","CORUMBÁ"
"Dique 1","POCONÉ"
"Barragem do Fundão","NOSSA SENHORA DO LIVRAMENTO"
"Barragem dos Coqueiros","POCONÉ"
"Dique 2","POCONÉ"
