"idlocalizacao","uf","municipio","latitude","longitude","posicionamento"
1,"MG","NOVA LIMA","-20°06'36.810''","-43°54'31.680''","Sul do Equador"
2,"MG","NOVA LIMA","-20°06'36.060''","-43°54'11.690''","Sul do Equador"
3,"MG","CARANAÍBA","-20°54'12.200''","-43°48'14.000''","Sul do Equador"
4,"MG","ITATIAIUÇU","-20°10'09.300''","-44°27'03.170''","Sul do Equador"
5,"MG","MATEUS LEME","-20°07'44.700''","-44°25'12.700''","Sul do Equador"
6,"MG","MATEUS LEME","-20°07'49.000''","-44°25'21.000''","Sul do Equador"
7,"MG","MATEUS LEME","-20°07'50.650''","-44°25'36.130''","Sul do Equador"
8,"MG","ITATIAIUÇU","-20°09'42.900''","-44°27'22.500''","Sul do Equador"
9,"MG","MATEUS LEME","-20°07'27.890''","-44°24'00.660''","Sul do Equador"
10,"MG","ITATIAIUÇU","-20°09'44.900''","-44°26'50.600''","Sul do Equador"
11,"MG","ITATIAIUÇU","-20°09'21.200''","-44°26'49.500''","Sul do Equador"
12,"MG","ITATIAIUÇU","-20°08'10.800''","-44°24'18.900''","Sul do Equador"
13,"MG","MATEUS LEME","-20°07'31.200''","-44°24'37.700''","Sul do Equador"
14,"MG","MATEUS LEME","-20°07'34.500''","-44°24'48.600''","Sul do Equador"
15,"MG","ITATIAIUÇU","-20°08'45.300''","-44°24'19.700''","Sul do Equador"
16,"MG","ITATIAIUÇU","-20°09'35.400''","-44°26'59.800''","Sul do Equador"
17,"MG","MATEUS LEME","-20°07'17.000''","-44°22'16.400''","Sul do Equador"
18,"MG","MATEUS LEME","-20°07'12.800''","-44°22'18.400''","Sul do Equador"
19,"MG","MATEUS LEME","-20°06'57.900''","-44°22'16.500''","Sul do Equador"
20,"MG","ITATIAIUÇU","-20°08'25.400''","-44°25'20.900''","Sul do Equador"
21,"MG","ITATIAIUÇU","-20°09'01.300''","-44°26'09.000''","Sul do Equador"
22,"MG","ITATIAIUÇU","-20°09'21.800''","-44°26'29.000''","Sul do Equador"
23,"MG","OURO PRETO","-20°24'42.200''","-43°51'55.000''","Sul do Equador"
24,"MG","MARIANA","-20°20'17.000''","-43°25'28.600''","Sul do Equador"
25,"MG","BARÃO DE COCAIS","-19°58'24.601''","-43°36'13.419''","Sul do Equador"
26,"MG","BARÃO DE COCAIS","-19°56'55.421''","-43°35'12.119''","Sul do Equador"
27,"MG","BARÃO DE COCAIS","-19°56'18.423''","-43°35'01.717''","Sul do Equador"
28,"MG","BARÃO DE COCAIS","-19°58'18.219''","-43°36'29.024''","Sul do Equador"
29,"SP","SOROCABA","-23°30'32.300''","-47°23'27.200''","Sul do Equador"
30,"PA","CANAÃ DOS CARAJÁS","-06°23'57.800''","-50°20'24.500''","Sul do Equador"
31,"PA","CANAÃ DOS CARAJÁS","-06°27'17.700''","-50°13'43.500''","Sul do Equador"
32,"PA","CANAÃ DOS CARAJÁS","-06°23'39.900''","-50°19'11.300''","Sul do Equador"
33,"PA","CANAÃ DOS CARAJÁS","-06°28'41.600''","-50°19'16.900''","Sul do Equador"
34,"PA","SÃO FÉLIX DO XINGU","-06°49'53.500''","-51°59'27.600''","Sul do Equador"
35,"PA","SÃO FÉLIX DO XINGU","-06°33'42.700''","-51°10'16.100''","Sul do Equador"
36,"PA","SÃO FÉLIX DO XINGU","-06°33'37.400''","-51°10'00.200''","Sul do Equador"
37,"PA","OURILÂNDIA DO NORTE","-06°34'49.700''","-51°04'37.500''","Sul do Equador"
38,"PA","SÃO FÉLIX DO XINGU","-06°33'31.456''","-51°10'40.184''","Sul do Equador"
39,"PA","SÃO FÉLIX DO XINGU","-06°33'21.445''","-51°10'24.538''","Sul do Equador"
40,"MG","DESCOBERTO","-21°28'01.900''","-42°53'09.500''","Sul do Equador"
41,"SE","ROSÁRIO DO CATETE","-10°39'12.400''","-37°01'50.100''","Sul do Equador"
42,"MG","CONGONHAS","-20°27'05.947''","-43°54'23.637''","Sul do Equador"
43,"MT","POCONÉ","-16°07'11.800''","-56°35'15.800''","Sul do Equador"
44,"MT","POCONÉ","-16°14'28.910''","-56°36'17.520''","Sul do Equador"
45,"BA","BRUMADO","-14°14'01.600''","-41°43'10.900''","Sul do Equador"
46,"MT","POCONÉ","-16°17'41.470''","-56°39'05.520''","Sul do Equador"
47,"MT","POCONÉ","-16°05'54.110''","-56°34'06.880''","Sul do Equador"
48,"BA","SANTALUZ","-11°15'37.010''","-39°21'27.220''","Sul do Equador"
49,"BA","SANTALUZ","-11°15'37.870''","-39°21'27.200''","Sul do Equador"
50,"BA","SANTALUZ","-11°15'36.320''","-39°21'27.300''","Sul do Equador"
51,"MT","ROSÁRIO OESTE","-14°50'36.750''","-56°33'46.670''","Sul do Equador"
52,"BA","JAGUARARI","-09°49'49.110''","-39°49'29.700''","Sul do Equador"
53,"RJ","SÃO JOÃO DA BARRA","-21°49'52.000''","-41°01'14.000''","Sul do Equador"
54,"MG","MATEUS LEME","-19°56'04.000''","-44°28'15.000''","Sul do Equador"
55,"MG","MATEUS LEME","-19°56'03.000''","-44°28'17.000''","Sul do Equador"
56,"MG","MATEUS LEME","-19°56'02.000''","-44°28'19.000''","Sul do Equador"
57,"MG","UBERABA","-19°24'39.269''","-47°57'25.648''","Sul do Equador"
58,"MG","UBERABA","-19°24'40.873''","-47°57'27.817''","Sul do Equador"
59,"MG","UBERABA","-19°24'38.963''","-47°57'21.016''","Sul do Equador"
60,"MG","UBERABA","-19°24'36.580''","-47°57'17.867''","Sul do Equador"
61,"MG","UBERABA","-19°24'41.235''","-47°57'23.791''","Sul do Equador"
62,"MG","UBERABA","-19°24'34.100''","-47°57'20.460''","Sul do Equador"
63,"SP","MOGI DAS CRUZES","-23°33'46.100''","-46°16'04.500''","Sul do Equador"
64,"SP","MOGI DAS CRUZES","-23°33'56.300''","-46°16'24.100''","Sul do Equador"
65,"BA","IRECÊ","-11°19'41.800''","-41°48'25.300''","Sul do Equador"
66,"BA","SIMÕES FILHO","-12°51'27.180''","-38°24'17.560''","Sul do Equador"
67,"SC","IÇARA","-28°43'45.000''","-49°14'54.000''","Sul do Equador"
68,"SP","TATUÍ","-23°21'17.300''","-47°43'48.900''","Sul do Equador"
69,"SP","SANTOS","-23°52'54.000''","-46°18'51.600''","Sul do Equador"
70,"PA","ALMEIRIM","-00°54'52.451''","-52°25'43.269''","Sul do Equador"
71,"PA","ALMEIRIM","-00°54'40.017''","-52°25'56.866''","Sul do Equador"
72,"AP","VITÓRIA DO JARI","-00°53'38.500''","-52°21'52.500''","Sul do Equador"
73,"AP","VITÓRIA DO JARI","-00°52'58.400''","-52°22'52.000''","Sul do Equador"
74,"MG","ITABIRITO","-20°14'59.720''","-43°56'07.650''","Sul do Equador"
75,"MG","ITABIRITO","-20°15'04.290''","-43°56'14.040''","Sul do Equador"
76,"RO","CAMPO NOVO DE RONDÔNIA","-10°30'18.000''","-63°37'14.100''","Sul do Equador"
77,"RO","CAMPO NOVO DE RONDÔNIA","-10°30'46.700''","-63°37'16.600''","Sul do Equador"
78,"PA","SÃO FÉLIX DO XINGU","-06°06'36.700''","-52°16'31.000''","Sul do Equador"
79,"PA","SÃO FÉLIX DO XINGU","-06°04'32.800''","-52°15'18.700''","Sul do Equador"
80,"RO","CUJUBIM","-09°31'24.000''","-62°54'21.200''","Sul do Equador"
81,"RO","JARU","-10°49'19.200''","-62°50'02.200''","Sul do Equador"
82,"RO","MINISTRO ANDREAZZA","-11°09'30.250''","-61°36'42.030''","Sul do Equador"
83,"RO","MINISTRO ANDREAZZA","-11°09'42.850''","-61°36'50.800''","Sul do Equador"
84,"RO","URUPÁ","-11°08'07.500''","-62°26'15.100''","Sul do Equador"
85,"MG","ITABIRITO","-20°22'38.190''","-43°54'52.910''","Sul do Equador"
86,"MG","ITABIRITO","-20°22'41.120''","-43°54'55.540''","Sul do Equador"
87,"MG","ITABIRITO","-20°22'39.730''","-43°54'54.340''","Sul do Equador"
88,"MG","ITABIRITO","-20°22'45.940''","-43°55'00.850''","Sul do Equador"
89,"MG","ITABIRITO","-20°22'50.400''","-43°55'03.030''","Sul do Equador"
90,"MG","ITABIRITO","-20°22'50.560''","-43°55'09.330''","Sul do Equador"
91,"MG","ITABIRITO","-20°22'46.200''","-43°55'00.900''","Sul do Equador"
92,"MG","ITABIRITO","-20°22'37.870''","-43°54'45.680''","Sul do Equador"
93,"AM","PRESIDENTE FIGUEIREDO","-00°43'24.700''","-60°11'48.200''","Sul do Equador"
94,"AM","PRESIDENTE FIGUEIREDO","-00°44'25.500''","-60°12'05.100''","Sul do Equador"
95,"AM","PRESIDENTE FIGUEIREDO","-00°44'35.500''","-60°12'05.100''","Sul do Equador"
96,"AM","PRESIDENTE FIGUEIREDO","-00°45'41.600''","-60°12'21.500''","Sul do Equador"
97,"AM","PRESIDENTE FIGUEIREDO","-00°42'25.600''","-60°11'33.100''","Sul do Equador"
98,"AM","PRESIDENTE FIGUEIREDO","-00°44'19.100''","-60°10'02.600''","Sul do Equador"
99,"AM","PRESIDENTE FIGUEIREDO","-00°47'22.400''","-60°00'46.900''","Sul do Equador"
100,"MG","ARAXÁ","-19°39'35.000''","-46°55'37.000''","Sul do Equador"
101,"SP","MOGI DAS CRUZES","-23°23'53.400''","-46°12'17.400''","Sul do Equador"
102,"SP","MOGI DAS CRUZES","-23°23'43.800''","-46°12'17.400''","Sul do Equador"
103,"MG","BRUMADINHO","-20°04'02.800''","-44°01'22.900''","Sul do Equador"
104,"MG","PRADOS","-21°11'27.800''","-43°59'28.500''","Sul do Equador"
105,"SP","CAIEIRAS","-23°23'35.060''","-46°46'30.100''","Sul do Equador"
106,"BA","ITAGIBÁ","-14°11'47.547''","-39°41'29.939''","Sul do Equador"
107,"BA","BRUMADO","-14°05'52.550''","-41°41'21.140''","Sul do Equador"
108,"MG","SENADOR MODESTINO GONÇALVES","-17°58'06.460''","-43°10'11.200''","Sul do Equador"
109,"MG","SENADOR MODESTINO GONÇALVES","-17°58'05.930''","-43°10'08.450''","Sul do Equador"
110,"MG","SENADOR MODESTINO GONÇALVES","-17°58'07.170''","-43°10'11.080''","Sul do Equador"
111,"SP","BOFETE","-23°11'18.600''","-48°21'04.800''","Sul do Equador"
112,"SP","MOGI DAS CRUZES","-23°24'04.600''","-46°12'19.500''","Sul do Equador"
113,"SP","GUARAREMA","-23°23'32.300''","-46°08'10.900''","Sul do Equador"
114,"MG","ITABIRA","-19°41'32.500''","-43°06'46.300''","Sul do Equador"
115,"MT","POCONÉ","-16°10'33.100''","-56°35'40.100''","Sul do Equador"
116,"BA","VITÓRIA DA CONQUISTA","-14°48'40.373''","-41°00'17.917''","Sul do Equador"
117,"RO","RIO CRESPO","-09°46'14.500''","-62°44'26.300''","Sul do Equador"
118,"SP","BRUMADINHO","-20°06'43.300''","-44°13'12.700''","Sul do Equador"
119,"SP","BRUMADINHO","-20°06'56.500''","-44°13'06.100''","Sul do Equador"
120,"SP","BRUMADINHO","-20°06'39.300''","-44°13'26.700''","Sul do Equador"
121,"RS","ALAMBARI","-23°34'46.419''","-47°49'45.677''","Sul do Equador"
122,"MG","AGUAÍ","-21°59'46.400''","-47°10'06.900''","Sul do Equador"
123,"PI","AGUAÍ","-21°59'46.200''","-47°10'04.100''","Sul do Equador"
124,"PB","NOVA PETRÓPOLIS","-29°20'48.000''","-51°11'30.000''","Sul do Equador"
125,"MG","INHAÚMA","-19°34'56.800''","-44°24'41.100''","Sul do Equador"
126,"MG","SÃO LOURENÇO DO PIAUÍ","-09°14'09.800''","-42°34'41.200''","Sul do Equador"
127,"MG","VÁRZEA","-06°48'35.100''","-37°00'22.200''","Sul do Equador"
128,"MG","ITATIAIUÇU","-20°08'19.363''","-44°24'02.991''","Sul do Equador"
129,"MG","ITATIAIUÇU","-20°08'18.900''","-44°24'02.700''","Sul do Equador"
130,"MG","MATEUS LEME","-20°07'11.260''","-44°23'07.880''","Sul do Equador"
131,"MG","MATEUS LEME","-20°07'25.280''","-44°22'31.860''","Sul do Equador"
132,"MT","ITATIAIUÇU","-20°07'53.460''","-44°22'30.040''","Sul do Equador"
