"idmina","nomemina"
692,"Borrachudo II"
693,"B5"
694,"Cambucal II"
695,"Pontal"
696,"BACIA DE DECANTAÇÃO - PLANTA I"
697,"Barragem 1"
698,"Barragem 2"
699,"Barragem B12"
700,"Barragem A"
701,"Barragem A0"
702,"Itamarati de Minas"
703,"Miraí"
704,"Barragem Lauro Muller - Bacia 4"
705,"Barragem Lauro Muller"
706,"Moita"
707,"Turmalina"
708,"Barragem Rio Fiorita"
709,"Barragem B1/B4"
710,"Bacia de Decantação Final No Bota Fora"
711,"Barragem B6"
712,"Pinheirinho"
713,"Barragem E"
714,"Barragem F"
715,"Barragem B5"
716,"Barragem B2"
717,"Barragem BA-3"
718,"Barragem BD-2"
719,"Barragem BD-5"
720,"Barragem BL-1"
721,"Barragem BRI"
722,"Barragem BR"
723,"Barragem BM"
724,"Barragem BR"
725,"Dique de Contenção de Salmoura"
726,"Dique de Resíduos Insóluveis"
727,"Cachoeirinha"
728,"Dique Lisa"
729,"Santa Bárbara"
730,"BARRAGEM JVR"
731,"B4"
732,"Gregório"
733,"BARRAGEM SERROTE"
734,"Barragem Eustáquio"
735,"Barragem Santo Antônio"
736,"Tanque Específico IX-B"
737,"Tanque Específico X"
738,"Tanque Específico XI"
739,"Tanque Específico XII"
740,"BR PIRÂMIDE"
741,"Rio do Peixe"
742,"BR SANTA FELICIDADE"
743,"Borrachudo"
744,"BR SANTA 01"
745,"Cambucal I"
746,"BR SANTA FELICIDADE 03"
747,"Quinzinho"
748,"TR1"
749,"Bacia 1 A"
750,"Bacia 1 B"
751,"Bacia 2"
752,"Bacia 3"
753,"Bacia 5 A"
754,"Bacia 5 B"
755,"Bacia 5 C"
756,"Bacia 6 A"
757,"Bacia de Segurança"
758,"Bacia 6B"
759,"Bacia B 1"
760,"Deposito de Rejeito R4"
761,"Bacia de Controle Ambiental"
762,"BR BRASÃO"
763,"Santa Maria"
764,"Barragem de Rejeitos Bom Futuro"
765,"BRAVO 1"
766,"Tanque Fundo"
767,"JABURU"
768,"Barragem Tocantinzinho"
769,"Célula 01"
770,"Barragem Jatobá"
771,"Alemães"
772,"Baias da UTM II"
773,"Barragem A1"
774,"Barragem Água Fria"
775,"SP2_3"
776,"SP6"
777,"SP8"
778,"SP9"
779,"SP10"
780,"SP11"
781,"SP13"
782,"SP14"
783,"SP15"
784,"SP4 Norte"
785,"SP7A"
786,"SP9A"
787,"TP3"
788,"SP12"
789,"SP-25A"
790,"SP-25B"
791,"SP-25C"
792,"SP16"
793,"SP19"
794,"SP4 Sul"
795,"SP5 Leste"
796,"SP5 Oeste"
797,"SP7B"
798,"SP7C"
799,"TP1"
800,"TP2"
801,"SP1"
802,"OURO BRANCO OESTE"
803,"B2"
804,"B4"
805,"Califórnia"
806,"Marçu"
807,"Rancho Casca"
808,"Conterpa"
809,"Modulo 3"
810,"Módulo IV"
811,"Barragem de Contenção de Sedimentos do Josino"
812,"Barragem Aroeira"
813,"Martins"
814,"Bom Retiro 2"
815,"MBR II SUL"
816,"Barragem Paciência"
817,"Barragem de Rejeito Estrela"
818,"Barragem de Rejeito Estrela 02"
819,"Barragem de Rejeito Estrela 03"
820,"Conjunto de cavas em desativação recuperação"
821,"Guará 3"
822,"Dique 3 (Barragem 1 - Portaria)"
823,"BARRAGEM B2"
824,"BARRAGEM B2 AUXILIAR"
825,"BARRAGEM ECOLÓGICA 1"
826,"Taboquinha 02 - Serra Azul"
827,"Taboquinha 01 - Crente"
828,"Taboquinha 03"
829,"Taboquinha 04"
830,"BARRAGEM DE CLARIFICAÇÃO"
831,"Barragem do Mirante I e II"
832,"Barragem da Cava"
833,"North Mill Pond"
834,"TAP D"
835,"Leste"
836,"Santa Tereza"
837,"Barragem MSG"
838,"Santa Tereza II"
839,"CONTENÇÃO DE REJEITOS DE CDS II"
840,"CONTENÇÃO DE FINOS DE CDS I"
841,"CONTENÇÃO DE REJEITOS DE CUIABÁ"
842,"CALCINADOS"
843,"COCURUTO"
844,"RAPAUNHA"
845,"Barragem do Serginho"
846,"DIQUE D"
847,"Bacia de Finos da Mina do Recreio"
848,"Bacia de Finos da Mina do Cerro"
849,"BARRAGEM DO VIGIA"
850,"BARRAGEM B4"
851,"BARRAGEM CASA DE PEDRA"
852,"BARRAGEM T03"
853,"POND 1 - BARRAGEM DE LIXIVIAÇÃO"
854,"POND 2 - BARRAGEM DE FLOTAÇÃO"
855,"POND 3 - BARRAGEM DE FLOTAÇÃO"
856,"DIQUE DO ESMERIL IV"
857,"Igarapé Mutum"
858,"Rio Santa Cruz"
859,"BACIA DE DECANTAÇÃO DA USINA RIO FIORITA"
860,"Jacaré Inferior"
861,"Mario Cruz"
862,"B5"
863,"TQ 6301 A - POND 1 A"
864,"TQ 6301 B - POND 1 B"
865,"TQ 6302 - POND 2"
866,"TQ 6303 - POND 3"
867,"Bacia de Rejeito Não Magnético 06"
868,"TUPA 2"
869,"TUPA 3"
870,"Barragem de rejeito não magnético 02"
871,"Barragem de rejeito não magnético 03"
872,"Barragem de Rejeito Não Magnético 04"
873,"Jacaré Superior"
874,"Jacaré Medio"
875,"Berion"
876,"BIG BERION"
877,"Campos"
878,"B1"
879,"Manga"
880,"B5"
881,"B6"
882,"RP1"
883,"SANTA RITA"
884,"BARRAGEM DE CONTENÇÃO DE REJEITOS"
885,"BARRAGEM DE REJEITOS"
886,"DIQUE DO BICHENTO IIIA"
887,"Elvo 1"
888,"BR02"
889,"Bacia de Rejeitos"
890,"CAVA B"
891,"Barragem 01"
892,"Barragem 02"
893,"BARRAGEM REJEITOS"
894,"DIQUE 2"
895,"ITAPEVA"
896,"Belíssima"
897,"Barragem 1"
898,"Barragem 2"
899,"Barragem 3"
900,"Bacia de Acumulação 01"
901,"TANQUE DE DECANTAÇÃO"
902,"Barragem do Bandeira"
903,"Dique do Grotão"
904,"Bacia do Castanheira"
905,"Barragem B1 - Mina Ipê"
906,"Barragem B2 - Mina Tico-Tico"
907,"Barragem B1-Auxiliar - Mina Tico-Tico"
908,"Barragem CBC"
909,"BARRAGEM GEOMINAS"
910,"SP-23"
911,"Barragem B"
912,"Barragem A"
913,"Barragem C"
914,"Barragem Mãe D'Água"
915,"Barragem Célula 02"
916,"TQ 63102 - Bacia de Águas Pluviais"
917,"BARRAGEM DE MINERAÇÃO HUMBERTO"
